"Codice ISTAT","Ente","Indirizzo","C.A.P.","Denominazione comune","Provincia","Email","Email PEC","Fax","U.R.P. email","U.R.P. fax","U.R.P. telefono","Abitanti","Superficie","Perimetro","Altitudine espressa in m. s.l.","Codice catastale","Codice Fiscale","A.T.O.","A.T.S.","Distretto Socio Sanitario","PLUS","Santo patrono","Festività Santo patrono"
"091095","Comune di Tortolì","Via Garibaldi, 1","08048","Tortolì","Nuoro","protocollo@comuneditortoli.it","protocollo@pec.comuneditortoli.it","+39 0782 600747 ","","","","11093","40,29","44530,38","15,00","A355","00068560911","Ogliastra","","Distretto di Tortolì","PLUS - Ogliastra","30 novembre Sant'Andrea Apostolo","30 novembre"
"091097","Comune di Triei","Via Baumbereu, 2","08040","Triei","Nuoro","info@comunetriei.it","protocollo@pec.comune.triei.ogliastra.it","+39 0782 618131","","","","1096","32,98","35589,87","141,00","L423","82000250918","Ogliastra","","Distretto di Tortolì","PLUS - Ogliastra","26 settembre SS. Cosma e Damiano","26 settembre"
"091098","Comune di Ulassai","Via Garibaldi, 41","08040","Ulassai","Nuoro","info@comune.ulassai.og.it","protocollo@pec.comunediulassai.it","+39 0782 223141","","","","1415","122,41","95825,20","720,00","L489","00151970910","Ogliastra","","Distretto di Tortolì","PLUS - Ogliastra","15 giorni dopo Pasqua Sant'Antioco","15 giorni"
"091099","Comune di Urzulei","Via Mazzini, 2","08040","Urzulei","Nuoro","protocollo@comuneurzulei.gov.it ","protocollo.urzulei@pec.comunas.it","+39 0782 649297","","","","1178","129,64","55228,89","511,00","L506","82001450913","Ogliastra","","Distretto di Tortolì","PLUS - Ogliastra","24 giugno San Giovanni Battista Apostolo","24 giugno"
"091100","Comune di Ussassai","Via Nazionale, 120","08040","Ussassai","Nuoro","info@comune.ussassai.og.it","protocollo@pec.comune.ussassai.og.it","+39 0782 55890","","","","506","47,32","39807,83","670,00","L514","00160240917","Ogliastra","","Distretto di Tortolì","PLUS - Ogliastra","29 agosto San Giovanni Battista (il martirio)","29 agosto"
"091101","Comune di Villagrande Strisaili","Via Roma, 1","08049","Villagrande Strisaili","Nuoro","info@comune.villagrandestrisaili.og.it","protocollo@pec.comune.villagrandestrisaili.og.it","+39 0782 32751","","","","3085","210,35","84320,63","679,00","L953","82000010916","Ogliastra","","Distretto di Tortolì","PLUS - Ogliastra","1 agosto San Gabriele Arcangelo","1 agosto"
"091103","Comune di Cardedu","Via Municipio, 5","08040","Cardedu","Nuoro","demografici@comune.cardedu.nu.it","protocollo@pec.comune.cardedu.nu.it","+39 0782 769031","","","","1966","33,39","31447,52","40,00","M285","91001010916","Ogliastra","","Distretto di Tortolì","PLUS - Ogliastra","29 giugno San Paolo Apostolo","29 giugno"
"091104","Comune di Lodine","Via Oristano, 9","08020","Lodine","Nuoro","aagg@comunelodine.gov.it","affarigenerali@pec.comunelodine.it","+39 0784 53432","aagg@comunelodine.gov.it","","+39 0784 53492","321","7,70","13197,47","884,00","E649","93006070911","Barbagia","","Distretto di Nuoro","PLUS - Distretto di Nuoro","23 aprile San Giorgio martire","23 aprile"
"092003","Comune di Assemini","Piazza Repubblica, 1","09032","Assemini","Cagliari","segreteria@comune.assemini.ca.it","protocollo@pec.comune.assemini.ca.it","+39 070 949229 ","urp@comune.assemini.ca.it ",""," 800195678","26848","118,17","108859,21","6,00","A474","80004870921","Campidano di Cagliari","","Distretto di Area Ovest","PLUS - Area Ovest","29 giugno SS. Pietro e Paolo","29 giugno"
"092009","Comune di Cagliari","Via Roma, 145","09124","Cagliari","Cagliari","urp@comune.cagliari.it ","protocollogenerale@comune.cagliari.legalmail.it","+39 070 6777263 ","urp@comune.cagliari.it","+39 070 6777263","+39 800016058","153231","85,01","117228,30","6,00","B354","00147990923","Campidano di Cagliari","","Distretto di Cagliari - Area Vasta","PLUS - Cagliari Città","30 ottobre San Saturnino","30 ottobre"
"092011","Comune di Capoterra","Via Cagliari, 91","09012","Capoterra","Cagliari","protocollo@comune.capoterra.ca.it","comune.capoterra@legalmail.it","+39 070 7239206","urp@comune.capoterra.ca.it","","+39 070 7239430","23534","68,49","41779,07","54,00","B675","80018070922","Capoterra","","Distretto di Area Ovest","PLUS - Area Ovest","15 gennaio Sant'Efisio ","15 gennaio"
"092015","Comune di Decimomannu","Piazza Municipio, 1","09033","Decimomannu","Cagliari","info@comune.decimomannu.ca.it","protocollo@pec.comune.decimomannu.ca.it","+39 070 962078","","","","8361","27,72","34316,29","12,00","D259","80013450921","Campidano di Cagliari","","Distretto di Area Ovest","PLUS - Area Ovest","17 gennaio Sant'Antonio Abate e Santa Greca di Decimomannu","17 gennaio"
"092037","Comune di Maracalagonis","Via Nazionale, 49","09040","Maracalagonis","Cagliari","protocollo@comune.maracalagonis.ca.it","protocollo@pec.comune.maracalagonis.ca.it","+39 070 785143","","","","8005","101,37","86772,75","82,00","E903","80011730928","Campidano di Cagliari","","Distretto di Quartu – Parteolla","PLUS - Ambito Quartu","5 luglio Santo Stefano","5 luglio"
"092050","Comune di Pula","Via Vittorio Emanuele, 28","09010","Pula","Cagliari","urp@comune.pula.ca.it","protocollo@pec.comune.pula.ca.it","+39 070 9253346","urp@comune.pula.ca.it","","+39 070 964401","7294","138,92","63503,39","15,00","H088","92010680921","Capoterra","","Distretto di Area Ovest","PLUS - Area Ovest","24 giugno San Giovanni Battista Apostolo","24 giugno"
"092051","Comune di Quartu Sant'Elena","Via Eligio Porcu, 141","09045","Quartu Sant'Elena","Cagliari","urp@comune.quartusantelena.ca.it","protocollo@pec.comune.quartusantelena.ca.it","+39 070 86012294 ","urp@comune.quartusantelena.ca.it","","+39 070 86012270","70352","96,41","71810,97","6,00","H118","00288630924","Campidano di Cagliari","","Distretto di Quartu – Parteolla","PLUS - Ambito Quartu","14 settembre Sant'Elena","14 settembre"
"092066","Comune di Sarroch","Via Siotto, 2","09018","Sarroch","Cagliari","protocollo@comune.sarroch.ca.it ","protocollosarroch@pec.it","+39 070 901139","","","+39 070 90926","5226","67,83","46768,54","47,00","I443","80006310926","Capoterra","","Distretto di Area Ovest","PLUS - Area Ovest","III domenica di settembre Santa Vittoria","III domenica di settembre Santa Vittoria"
"092068","Comune di Selargius","Via Istria, 1","09047","Selargius","Cagliari","urp@comune.selargius.ca.it","protocollo@pec.comune.selargius.ca.it","+39 070 8592308","urp@comune.selargius.ca.it","","+39 800398674","29202","26,67","35987,22","11,00","I580","80002090928","Campidano di Cagliari","","Distretto di Cagliari - Area Vasta","PLUS - 21","15 agosto Maria Vergine Assunta","15 agosto"
"092074","Comune di Sestu","Via Scipione, 1","09028","Sestu","Cagliari","protocollo@comune.sestu.ca.it ","protocollo.sestu@pec.it","+39 070 2360211","","","","21162","48,29","30437,60","45,00","I695","80004890929","Campidano di Cagliari","","Distretto di Cagliari - Area Vasta","PLUS - 21","23 aprile San Giorgio martire","23 aprile"
"092075","Comune di Settimo San Pietro","Piazza Sandro Pertini, 1","09040","Settimo San Pietro","Cagliari","protocollo@comune.settimosanpietro.ca.it","protocollo@pec.comune.settimosanpietro.ca.it","+39 070 765687","","","+39 070 7691237","6831","23,29","24222,31","70,00","I699","80004000925","Parteolla","","Distretto di Cagliari - Area Vasta","PLUS - 21","I domenica di settembre San Pietro","I domenica di settembre San Pietro"
"092080","Comune di Sinnai","Via Parco delle Rimembranze","09048","Sinnai","Cagliari","personale@comune.sinnai.ca.it","protocollo@pec.comune.sinnai.ca.it","+39 070 781412","urp@comune.sinnai.ca.it","","+39 070 7690501","17664","223,91","112049,75","133,00","I752","80014650925","Campidano di Cagliari","","Distretto di Quartu – Parteolla","PLUS - Ambito Quartu","4 dicembre Santa Barbara","4 dicembre"
"092090","Comune di Uta","Piazza S'Olivariu, 1","09010","Uta","Cagliari","protocollo@comune.uta.ca.it","comune.uta@legalmail.it","+39 070 96660217","","","","8733","134,71","62370,54","6,00","L521","80009610926","Campidano di Cagliari","","Distretto di Area Ovest","PLUS - Area Ovest","III domenica di maggio Santa Giusta","III domenica di maggio Santa Giusta"
"092099","Comune di Villa San Pietro","Piazza San Pietro, 6","09010","Villa San Pietro","Cagliari","protocollo@comune.villasanpietro.ca.it","protocollo@comunevillasanpietro.postacert.it","+39 070 907419","","","","2143","39,89","38846,18","37,00","I118","00492250923","Capoterra","","Distretto di Area Ovest","PLUS - Area Ovest","29 giugno San Pietro martire","29 giugno"
"092105","Comune di Quartucciu","Via Nazionale, 127","09044","Quartucciu","Cagliari","info@comune.quartucciu.ca.it","protocollo.quartucciu@legalmail.it","+39 070 85954247","","","","13132","27,93","50046,74","6,00","H119","92010020920","Campidano di Cagliari","","Distretto di Cagliari - Area Vasta","PLUS - 21","23 aprile San Giorgio","23 aprile"
"092108","Comune di Elmas","Via del Pino Solitario, snc","09030","Elmas","Cagliari","affarigenerali@comune.elmas.ca.it","protocollo@pec.comune.elmas.ca.it","+39 070 243105","","","","9519","13,63","19864,12","6,00","D399","92027670923","Campidano di Cagliari","","Distretto di Area Ovest","PLUS - Area Ovest","20 gennaio San Sebastiano","20 gennaio"
"092109","Comune di Monserrato","Via San Lorenzo, 1","09042","Monserrato","Cagliari","personale@comune-monserrato.it","protocollo@pec.comune.monserrato.ca.it","+39 070 5792246","urp@comune.monserrato.ca.it","","+39 070 5792612 ","19677","6,43","12535,10","2,00","F383","92033080927","Campidano di Cagliari","","Distretto di Cagliari - Area Vasta","PLUS - 21","7 dicembre Sant'Ambrogio","7 dicembre"
"095001","Comune di Abbasanta","Via Garibaldi, 144","09071","Abbasanta","Oristano","info@comune.abbasanta.or.it","protocollo@pec.comune.abbasanta.or.it","+39 0785 561650","anagrafe@comune.abbasanta.or.it ","","+39 0785 561634","2643","39,85","28170,86","310,00","A007","00068600956","Guilcier","","Distretto di Ghilarza – Bosa","PLUS - Distretto di Ghilarza – Bosa Zona 1 Ghilarza","25 novembre Santa Caterina d'Alessandria","25 novembre"
"095002","Comune di Aidomaggiore","Piazza Parrocchia, 6","09070","Aidomaggiore","Oristano","info@comuneaidomaggiore.it","protocollo@pec.comuneaidomaggiore.it","+39 0785 57860","","","","414","41,21","35319,04","250,00","A097","00077720951","Guilcier","","Distretto di Ghilarza – Bosa","PLUS - Distretto di Ghilarza – Bosa Zona 1 Ghilarza","24 maggio Madonna delle Palme","24 maggio"
"095003","Comune di Albagiara","Via Cagliari, 20","09090","Albagiara","Oristano","comunedialbagiara@gmail.com","protocollo@pec.comune.albagiara.or.it","+39 0783 938420","comunedialbagiara@gmail.com","+39 0783 938420","+39 0783 938002","250","8,87","18799,76","290,00","A126","00070480959","Alta Marmilla","","Distretto di Ales – Terralba","PLUS - Distretto di Ales – Terralba","20 gennaio San Sebastiano","20 gennaio"
"095004","Comune di Ales","Corso Cattedrale, 53","09091","Ales","Oristano","comuneales@tiscali.it","protocollo.ales@legalmail.it","+39 0786 911336","","","","1366","22,45","28845,90","194,00","A180","00072510951","Alta Marmilla","","Distretto di Ales – Terralba","PLUS - Distretto di Ales – Terralba","29 giugno SS. Pietro e Paolo Apostoli e Martiri ","29 giugno"
"095005","Comune di Allai","Via Ponte Nuovo, 3","09080","Allai","Oristano","comunediallai@tiscali.it","protocollo@pec.comune.allai.or.it","+39 0783 609001","","","","355","27,36","22297,23","60,00","A204","00085240950","Barigadu","","Distretto di Oristano","PLUS - Distretto di Oristano","16 maggio Spirito Santo","16 maggio"
"095006","Comune di Arborea","Viale A. Omodeo, 5","09092","Arborea","Oristano","protocollo@comunearborea.it","protocollo@pec.comunearborea.it","+39 0783 8033223","","","","3844","94,96","62019,27","6,00","A357","80004550952","Campidano di Oristano","","Distretto di Ales – Terralba","PLUS - Distretto di Ales – Terralba","31 gennaio San Giovanni Bosco","31 gennaio"
"095007","Comune di Ardauli","Piazza Matteotti, 2","09081","Ardauli","Oristano","info@comuneardauli.it","protocollo@pec.comuneardauli.it","+39 0783 651573","demografici@comuneardauli.it","+39 0783 651573","+39 0783 025109","826","20,53","22522,39","437,00","A380","80007390950","Barigadu","","Distretto di Ghilarza – Bosa","PLUS - Distretto di Ghilarza – Bosa Zona 1 Ghilarza","III domenica di ottobre Vergine del Buon Cammino","III domenica di ottobre Vergine del Buon Cammino"
"095008","Comune di Assolo","Via Arborea, 15","09080","Assolo","Oristano","comune.assolo@gmail.com","protocollo@pec.comune.assolo.or.it","+39 0783 969266","comune.assolo@gmail.com","","+39 0783 969050","353","16,37","19750,44","256,00","A477","80007320957","Alta Marmilla","","Distretto di Ales – Terralba","PLUS - Distretto di Ales – Terralba","20 gennaio San Sebastiano","20 gennaio"
"095009","Comune di Asuni","Piazza Municipio, 1","09080","Asuni","Oristano","info@comuneasuni.it","protocollo@pec.comuneasuni.it","+39 0783 960133","","","+39 0783 960134","320","21,34","25804,24","233,00","A480","80007540950","Alta Marmilla","","Distretto di Ales – Terralba","PLUS - Distretto di Ales – Terralba","24 giugno San Giovanni Battista Apostolo","24 giugno"
"095010","Comune di Baradili","Via Vittorio Emanuele, 5","09090","Baradili","Oristano","comune@comunebaradili.gov.it","protocollo@pec.comune.baradili.or.it","","","","","77","5,57","10260,52","168,00","A614","80007220959","Alta Marmilla","","Distretto di Ales – Terralba","PLUS - Distretto di Ales – Terralba","20 luglio Santa Margherita di Antiochia","20 luglio"
"095011","Comune di Baratili San Pietro","Via Chiesa, 18","09070","Baratili San Pietro","Oristano","affarigenerali@comune.baratilisanpietro.or.it","protocollo@pec.comune.baratilisanpietro.or.it","+39 0783 411511 ","","","","1262","6,10","12531,48","12,00","A621","00074690959","Sinis","","Distretto di Oristano","PLUS - Distretto di Oristano","29 giugno San Pietro Apostolo Martire","29 giugno"
"095012","Comune di Baressa","Via Is Tellaias, 6","09090","Baressa","Oristano","info@comune.baressa.or.it","protocollo@pec.comune.baressa.or.it	","+39 0783 930118  ","","","","598","12,51","14443,30","165,00","A655","80030310959","Alta Marmilla","","Distretto di Ales – Terralba","PLUS - Distretto di Ales – Terralba","23 aprile San Giorgio","23 aprile"
"095013","Comune di Bauladu","Via Antonio Gramsci, 7","09070","Bauladu","Oristano","info@comune.bauladu.or.it","comune.bauladu@anutel.it","+39 0783 51592 ","","","","668","24,22","23090,49","38,00","A721","00072000953","Campidano di Oristano","","Distretto di Oristano","PLUS - Distretto di Oristano","3 settembre San Gregorio Magno","3 settembre"
"095014","Comune di Bidonì","Via Taloro, 3","09080","Bidonì","Oristano","ufficio.protocollo@comune.bidoni.or.it","protocollo@pec.comune.bidoni.or.it	","+39 0783 69407","","","","136","11,72","14613,83","249,00","A856","80005650959","Barigadu","","Distretto di Ghilarza – Bosa","PLUS - Distretto di Ghilarza – Bosa Zona 1 Ghilarza","24 giugno San Giovanni Battista Apostolo","24 giugno"
"095015","Comune di Bonarcado","Corso Italia, 140","09070","Bonarcado","Oristano","protocollo.bonarcado@tiscali.it","protocollo@pec.comune.bonarcado.or.it","+39 0783 569009 ","","","","1538","28,41","30435,89","282,00","A960","00067610956","Montiferru","","Distretto di Ghilarza – Bosa","PLUS - Distretto di Ghilarza – Bosa Zona 1 Ghilarza","7 febbraio San Romualdo","7 febbraio"
"095016","Comune di Boroneddu","Via Sicilia, 1","09080","Boroneddu","Oristano","info@comune.boroneddu.or.it","protocollo@pec.comune.boroneddu.or.it","+39 0785 50061 ","info@comune.boroneddu.or.it","+39 0785 50061","+39 0785 50007","153","4,59","10270,84","216,00","B055","80005490950","Guilcier","","Distretto di Ghilarza – Bosa","PLUS - Distretto di Ghilarza – Bosa Zona 1 Ghilarza","10 agosto San Lorenzo","10 agosto"
"095017","Comune di Busachi","Piazza Italia, 1","09082","Busachi","Oristano","protocollo@comune.busachi.or.it","info.busachi@legalmail.it","+39 0783 62433","","","","1241","59,03","41787,36","379,00","B281","00541880951","Barigadu","","Distretto di Ghilarza – Bosa","PLUS - Distretto di Ghilarza – Bosa Zona 1 Ghilarza","13 giugno Sant'Antonio da Padova","13 giugno"
"095018","Comune di Cabras","Piazza Eleonora d'Arborea, 1","09072","Cabras","Oristano","protocollo@comune.cabras.or.it","protocollo@pec.comune.cabras.or.it","","","","","9043","102,26","71058,72","9,00","B314","80002210955","Sinis","","Distretto di Oristano","PLUS - Distretto di Oristano","24 maggio Santa Maria Assunta","24 maggio"
"095019","Comune di Cuglieri","Via Carlo Alberto, 33","09073","Cuglieri","Oristano","ufficio.protocollo@comune.cuglieri.or.it","protocollo@pec.comune.cuglieri.or.it","+39 0785 368214 ","","","","2548","120,60","63254,54","479,00","D200","00073930950","Montiferru","","Distretto di Ghilarza – Bosa","PLUS - Distretto di Ghilarza – Bosa Zona 1 Ghilarza","5 agosto Madonna della Neve","5 agosto"
"095020","Comune di Fordongianus","Via F. Coco, 1","09083","Fordongianus","Oristano","info@comune.fordongianus.or.it","protocollo.fordongianus@pec.comunas.it","+39 0783 60323","info@comune.fordongianus.or.it","","+39 0783 60123 ","870","39,48","30835,11","35,00","D695","80003470954","Barigadu","","Distretto di Ghilarza – Bosa","PLUS - Distretto di Ghilarza – Bosa Zona 1 Ghilarza","29 giugno San Pietro Apostolo Martire","29 giugno"
"095021","Comune di Ghilarza","Via Matteotti, 64","09074","Ghilarza","Oristano","info@comune.ghilarza.or.it","protocollo@pec.comune.ghilarza.or.it","","","","","4409","55,46","50387,58","290,00","E004","00072080955","Guilcier","","Distretto di Ghilarza – Bosa","PLUS - Distretto di Ghilarza – Bosa Zona 1 Ghilarza","8 luglio San Palmerio","8 luglio"
"095022","Comune di Gonnoscodina","Via Municipio, 12","09090","Gonnoscodina","Oristano","protocollo@comune.gonnoscodina.or.it","protocollo@pec.comune.gonnoscodina.or.it","+39 0783 92054","","","","453","8,82","14001,50","111,00","E087","80006690954 ","Alta Marmilla","","Distretto di Ales – Terralba","PLUS - Distretto di Ales – Terralba","20 gennaio San Sebastiano","20 gennaio"
"095023","Comune di Gonnosnò","Via Oristano, 30","09090","Gonnosnò","Oristano","protocollo@comune.gonnosno.or.it","protocollo@pec.comune.gonnosno.or.it","+39 0783 931679  ","protocollo@comune.or.it","+39 0783 931679","+39 0783 931678","716","15,46","17152,25","195,00","D585","00069670958","Alta Marmilla","","Distretto di Ales – Terralba","PLUS - Distretto di Ales – Terralba","18 agosto Sant'Elena Imperatrice","18 agosto"
"095024","Comune di Gonnostramatza","Via 	E. Carboni, 2","09093","Gonnostramatza","Oristano","gonnostramatza@comune.gonnostramatza.or.it","protocollo@pec.comune.gonnostramatza.or.it","","","","","853","17,64","20553,12","96,00","E088","80004530954","Alta Marmilla","","Distretto di Ales – Terralba","PLUS - Distretto di Ales – Terralba","29 settembre San Michele Arcangelo","29 settembre"
"095025","Comune di Marrubiu","Piazza Roma, 7","09094","Marrubiu","Oristano","protocollo@comunemarrubiu.it","protocollo@pec.comunemarrubiu.it","+39 0783 858209","","","","4737","61,24","39681,83","7,00","E972","80001090952","Campidano di Oristano","","Distretto di Ales – Terralba","PLUS - Distretto di Ales – Terralba","8 settembre Madonna del Rimedio","8 settembre"
"095026","Comune di Masullas","Via Vittorio Emanuele, 51","09090","Masullas","Oristano","masullasanagrafe@tiscali.it","protocollo@pec.masullas.gov.it","+39 0783 991596","","","","1044","18,68","23940,77","129,00","F050","00074190950","Alta Marmilla","","Distretto di Ales – Terralba","PLUS - Distretto di Ales – Terralba","2 luglio Madonna delle Grazie","2 luglio"
"095027","Comune di Milis","Piazza Marconi, 4","09070","Milis","Oristano","info@comunemilis.or.it","protocollo.milis@pec.comunas.it","+39 0783 51680","","","","1517","18,67","22377,26","70,00","F208","00071720957","Sinis","","Distretto di Oristano","PLUS - Distretto di Oristano","20 gennaio San Sebastiano","20 gennaio"
"095028","Comune di Mogorella","Via Risorgimento, 16","09080","Mogorella","Oristano","protocollo@comune.mogorella.or.it","comune.mogorella.or@legalmail.it","+39 0783 45383 ","","","","432","17,06","18304,89","299,00","F270","00073740953","Alta Marmilla","","Distretto di Ales – Terralba","PLUS - Distretto di Ales – Terralba","10 agosto San Lorenzo","10 agosto"
"095029","Comune di Mogoro","Via Leopardi, 8","09095","Mogoro","Oristano","segreteria@comune.mogoro.or.it","protocollo@pec.comune.mogoro.or.it","","","","","4048","48,99","29876,29","150,00","F272","00070400957","Alta Marmilla","","Distretto di Ales – Terralba","PLUS - Distretto di Ales – Terralba","20 maggio San Bernardino da Siena","20 maggio"
"095030","Comune di Morgongiori","Via Rinascita, 6","09090","Montresta","Oristano","protocollo@comune.morgongiori.or.it","protocollo@pec.comune.morgongiori.or.it","+39 0783 932276 ","protocollo@comune.morgongiori.or.it","","+39 0783 027802","693","45,20","29585,02","351,00","F727","00074170952","Alta Marmilla","","Distretto di Ales – Terralba","PLUS - Distretto di Ales – Terralba","22 luglio Santa Maria Maddalena","22 luglio"
"095031","Comune di Narbolia","Via Umberto, 22","09070","Narbolia","Oristano","protocollo@comune.narbolia.or.it","protocollo.narbolia@pec.comunas.it","+39 0783 57171","","","","1727","40,50","32374,19","57,00","F840","00064230956","Sinis","","Distretto di Oristano","PLUS - Distretto di Oristano","8 ottobre Santa Reparata","8 ottobre"
"095032","Comune di Neoneli","Via Roma, 83","09080","Neoneli","Oristano","info@comune.neoneli.or.it","protocollo@pec.comune.neoneli.or.it","","","","","637","48,01","39107,97","555,00","F867","80031650957","Barigadu","","Distretto di Ghilarza – Bosa","PLUS - Distretto di Ghilarza – Bosa Zona 1 Ghilarza","29 giugno San Pietro Apostolo Martire","29 giugno"
"095033","Comune di Norbello","Via Emilio Lussu, 10","09070","Norbello","Oristano","info@comune.norbello.or.it","protocollo@pec.comune.norbello.or.it","+39 0785 899105","","","","1198","26,18","30847,77","315,00","F934","00077710952 ","Guilcier","","Distretto di Ghilarza – Bosa","PLUS - Distretto di Ghilarza – Bosa Zona 1 Ghilarza","15 luglio SS. Quirico e Giulitta","15 luglio"
"095034","Comune di Nughedu Santa Vittoria","Via Del Parco, 1 - 3","09080","Nughedu Santa Vittoria","Oristano","claudio.zago@comunenughedusv.it","protocollo.nughedusv@pec.comunas.it","+39 0783 69384","","","","462","28,57","24592,65","531,00","F974","80005850955","Barigadu","","Distretto di Ghilarza – Bosa","PLUS - Distretto di Ghilarza – Bosa Zona 1 Ghilarza","25 luglio San Giacomo","25 luglio"
"095035","Comune di Nurachi","Piazza Chiesa, 12","09070","Nurachi","Oristano","info@comune.nurachi.or.it ","comunedinurachi@pec.it","+39 0783 412086","","","","1780","15,97","18710,40","7,00","F980","00074700956","Sinis","","Distretto di Oristano","PLUS - Distretto di Oristano","24 giugno San Giovanni Battista Apostolo","24 giugno"
"095036","Comune di Nureci","Via Ungheria, 31","09080","Nureci","Oristano","protocollo@comune.nureci.or.it","protocollo@pec.comune.nureci.or.it","+39 0783  96646","","","","336","12,87","19416,46","335,00","F985","80007460951","Alta Marmilla","","Distretto di Ales – Terralba","PLUS - Distretto di Ales – Terralba","4 dicembre Santa Barbara","4 dicembre"
"095037","Comune di Ollastra","Via Angioy, 25","09084","Ollastra","Oristano","info@comune.ollastra.or.it","protocollo@pec.comunediollastra.it","+39 0783 409315","","","","1182","21,47","22861,69","23,00","G043","80005470952","Campidano di Oristano","","Distretto di Oristano","PLUS - Distretto di Oristano","20 gennaio San Sebastiano","20 gennaio"
"095038","Comune di Oristano","Piazza Eleonora, 44","09170","Oristano","Oristano","protocollo@comune.oristano.it","istituzionale@pec.comune.oristano.it","+39 0783 791229","urp@comune.oristano.it","","+39 800 652467 +39 0783 791337 +39 0783 791331","31469","84,57","70183,34","8,00","G113","00052090958","Campidano di Oristano","","Distretto di Oristano","PLUS - Distretto di Oristano","13 febbraio Sant'Archelao","13 febbraio"
"095039","Comune di Palmas Arborea","Via Rinascita, 19","09090","Palmas Arborea","Oristano","protocollo@comune.palmasarborea.or.it","protocollo@pec.comune.palmasarborea.or.it","+39 0783 28098 ","","","","1498","39,33","30778,49","4,00","G286","80006890950","Campidano di Oristano","","Distretto di Oristano","PLUS - Distretto di Oristano","Lunedì 15 giorni dopo Pasqua Sant'Antioco","Lunedì 15 giorni dopo Pasqua Sant'Antioco"
"095040","Comune di Pau","Via San Giorgio, 17","09090","Pau","Oristano","protocollo@comune.pau.or.it","comune.pau@legalmail.it","","","","","294","13,82","16789,32","331,00","G379","80030320958","Alta Marmilla","","Distretto di Ales – Terralba","PLUS - Distretto di Ales – Terralba","23 aprile San Giorgio","23 aprile"
"095041","Comune di Paulilatino","Viale Della Libertà, 33","09070","Paulilatino","Oristano","comunepa@tiscali.it","protocollo@pec.comune.paulilatino.or.it","","","","","2164","103,85","45638,56","280,00","G384","00072980956","Guilcier","","Distretto di Ghilarza – Bosa","PLUS - Distretto di Ghilarza – Bosa Zona 1 Ghilarza","9 novembre San Teodoro Martire","9 novembre"
"095042","Comune di Pompu","Piazza Cavour, 1","09095","Pompu","Oristano","comunedipompu@tiscali.it","comune.pompu@legalmail.it","+39 0783 990035  ","","","","237","5,32","9657,77","147,00","G817","00074160953","Alta Marmilla","","Distretto di Ales – Terralba","PLUS - Distretto di Ales – Terralba","20 gennaio San Sebastiano","20 gennaio"
"095043","Comune di Riola Sardo","Via Umberto I, 16","09070","Riola Sardo","Oristano","protocollo@comune.riolasardo.or.it","protocollo@pec.comune.riolasardo.or.it","","","","","2101","48,11","40685,55","9,00","H301","00070490958","Sinis","","Distretto di Oristano","PLUS - Distretto di Oristano","11 novembre San Martino","11 novembre"
"095044","Comune di Ruinas","Via San Giorgio, 80","09085","Ruinas","Oristano","comuneruinas@gmail.com ","protocollo.ruinas@legalmail.it","+39 0783 459291  ","","","","647","30,46","24685,73","359,00","F271","00073460958","Alta Marmilla","","Distretto di Ales – Terralba","PLUS - Distretto di Ales – Terralba","III settimana di agosto San Giorgio Martire","III settimana di agosto San Giorgio Martire"
"095045","Comune di Samugheo","Piazza Sedda, 5","09086","Samugheo","Oristano","segreteria@comune.samugheo.or.it","protocollo@pec.comune.samugheo.or.it","+39 0783 64697  ","","","","2926","81,28","47228,39","370,00","H756","00073500951","Barigadu","","Distretto di Oristano","PLUS - Distretto di Oristano","20 gennaio San Sebastiano","20 gennaio"
"095046","Comune di San Nicolò d'Arcidano","Piazza Della Libertà, 1","09097","San Nicolò d'Arcidano","Oristano","protocollo@comune.sannicolodarcidano.or.it","protocollo@pec.comune.sannicolodarcidano.or.it","+39 0783 88741   ","","","","2578","28,36","27097,24","13,00","A368","00070950951","Campidano di Oristano","","Distretto di Ales – Terralba","PLUS - Distretto di Ales – Terralba","10 settembre San Nicolò vescovo","10 settembre"
"095047","Comune di Santa Giusta","Via Garibaldi, 84","09096","Santa Giusta","Oristano","segreteria@comune.santagiusta.or.it","protocollo@pec.comune.santagiusta.or.it","+39 0783 354535  ","","","","4757","69,22","59133,73","10,00","I205","00072260953","Campidano di Oristano","","Distretto di Oristano","PLUS - Distretto di Oristano","14 maggio Santa Giusta","14 maggio"
"095048","Comune di Villa Sant'Antonio","Via Maria Doro, 5","09080","Villa Sant'Antonio","Oristano","ufficio.protocollo@comune.villasantantonio.or.it","protocollo@pec.comune.villasantantonio.or.it","+39 0783 964138  ","","","","337","19,05","22690,06","249,00","I298","00074670951","Alta Marmilla","","Distretto di Ales – Terralba","PLUS - Distretto di Ales – Terralba","I domenica di giugno Sant'Antonio da Padova","I domenica di giugno Sant'Antonio da Padova"
"095049","Comune di Santu Lussurgiu","Viale Azuni, 62","09075","Santu Lussurgiu","Oristano","protocollo@comunesantulussurgiu.it ","protocollo.santulussurgiu@pec.comunas.it","+39 0783 5519227 ","","","","2300","99,80","56764,73","503,00","I374","00068900950","Montiferru","","Distretto di Ghilarza – Bosa","PLUS - Distretto di Ghilarza – Bosa Zona 1 Ghilarza","20 e 21 agosto San Lussorio","20 e 21 agosto"
